"","Afghanistan","70111"
"","Albania","132297"
"","Algeria","128456"
"","Andorra","13693"
"","Angola","34180"
"","Antigua and Barbuda","1259"
"","Argentina","3732263"
"","Armenia","222555"
"Australian Capital Territory","Australia","124"
"New South Wales","Australia","5585"
"Northern Territory","Australia","173"
"Queensland","Australia","1618"
"South Australia","Australia","752"
"Tasmania","Australia","234"
"Victoria","Australia","20593"
"Western Australia","Australia","1017"
"","Austria","644207"
"","Azerbaijan","333723"
"","Bahamas","11745"
"","Bahrain","235698"
"","Bangladesh","797386"
"","Barbados","4012"
"","Belarus","392629"
"","Belgium","1059763"
"","Belize","12791"
"","Benin","8058"
"","Bhutan","1603"
"","Bolivia","366714"
"","Bosnia and Herzegovina","203839"
"","Botswana","53771"
"","Brazil","16471600"
"","Brunei","241"
"","Bulgaria","418221"
"","Burkina Faso","13430"
"","Burma","143526"
"","Burundi","4715"
"","Cabo Verde","30273"
"","Cambodia","28825"
"","Cameroon","78929"
"Alberta","Canada","226855"
"British Columbia","Canada","143581"
"Diamond Princess","Canada","1"
"Grand Princess","Canada","13"
"Manitoba","Canada","50499"
"New Brunswick","Canada","2191"
"Newfoundland and Labrador","Canada","1302"
"Northwest Territories","Canada","127"
"Nova Scotia","Canada","5530"
"Nunavut","Canada","648"
"Ontario","Canada","537138"
"Prince Edward Island","Canada","200"
"Quebec","Canada","369728"
"Repatriated Travellers","Canada","13"
"Saskatchewan","Canada","46464"
"Yukon","Canada","84"
"","Central African Republic","7085"
"","Chad","4928"
"","Chile","1369597"
"Anhui","China","1004"
"Beijing","China","1059"
"Chongqing","China","598"
"Fujian","China","620"
"Gansu","China","194"
"Guangdong","China","2432"
"Guangxi","China","275"
"Guizhou","China","147"
"Hainan","China","188"
"Hebei","China","1317"
"Heilongjiang","China","1612"
"Henan","China","1314"
"Hong Kong","China","11837"
"Hubei","China","68159"
"Hunan","China","1051"
"Inner Mongolia","China","387"
"Jiangsu","China","726"
"Jiangxi","China","937"
"Jilin","China","573"
"Liaoning","China","425"
"Macau","China","51"
"Ningxia","China","76"
"Qinghai","China","18"
"Shaanxi","China","616"
"Shandong","China","883"
"Shanghai","China","2093"
"Shanxi","China","253"
"Sichuan","China","1025"
"Tianjin","China","393"
"Tibet","China","1"
"Unknown","China","2"
"Xinjiang","China","980"
"Yunnan","China","352"
"Zhejiang","China","1364"
"","Colombia","3363061"
"","Comoros","3881"
"","Congo (Brazzaville)","11658"
"","Congo (Kinshasa)","31416"
"","Costa Rica","314102"
"","Cote d'Ivoire","47233"
"","Croatia","355955"
"","Cuba","140087"
"","Cyprus","72363"
"","Czechia","1660935"
"Faroe Islands","Denmark","712"
"Greenland","Denmark","37"
"","Denmark","279434"
"","Diamond Princess","712"
"","Djibouti","11523"
"","Dominica","188"
"","Dominican Republic","290526"
"","Ecuador","424741"
"","Egypt","260659"
"","El Salvador","73246"
"","Equatorial Guinea","8529"
"","Eritrea","4061"
"","Estonia","129424"
"","Eswatini","18589"
"","Ethiopia","271200"
"","Fiji","360"
"","Finland","92244"
"French Guiana","France","23763"
"French Polynesia","France","18860"
"Guadeloupe","France","16517"
"Martinique","France","11789"
"Mayotte","France","20176"
"New Caledonia","France","128"
"Reunion","France","24901"
"Saint Barthelemy","France","1005"
"Saint Pierre and Miquelon","France","25"
"St Martin","France","1915"
"Wallis and Futuna","France","445"
"","France","5863138"
"","Gabon","24365"
"","Gambia","5990"
"","Georgia","342880"
"","Germany","3684672"
"","Ghana","93775"
"","Greece","400395"
"","Grenada","161"
"","Guatemala","253837"
"","Guinea","23172"
"","Guinea-Bissau","3761"
"","Guyana","16822"
"","Haiti","14128"
"","Holy See","27"
"","Honduras","236952"
"","Hungary","804032"
"","Iceland","6555"
"","India","27894800"
"","Indonesia","1809926"
"","Iran","2893218"
"","Iraq","1193608"
"","Ireland","254870"
"","Israel","839453"
"","Italy","4213055"
"","Jamaica","48374"
"","Japan","742539"
"","Jordan","734659"
"","Kazakhstan","438715"
"","Kenya","170485"
"","Kiribati","2"
"","Korea, South","139910"
"","Kosovo","106946"
"","Kuwait","306717"
"","Kyrgyzstan","104222"
"","Laos","1908"
"","Latvia","132918"
"","Lebanon","540132"
"","Lesotho","10825"
"","Liberia","2179"
"","Libya","184815"
"","Liechtenstein","3008"
"","Lithuania","273866"
"","Luxembourg","69830"
"","MS Zaandam","9"
"","Madagascar","41234"
"","Malawi","34329"
"","Malaysia","558534"
"","Maldives","62906"
"","Mali","14265"
"","Malta","30529"
"","Marshall Islands","4"
"","Mauritania","19463"
"","Mauritius","1363"
"","Mexico","2411503"
"","Micronesia","1"
"","Moldova","255105"
"","Monaco","2503"
"","Mongolia","56621"
"","Montenegro","99566"
"","Morocco","518868"
"","Mozambique","70724"
"","Namibia","54659"
"","Nepal","553422"
"Aruba","Netherlands","10974"
"Bonaire, Sint Eustatius and Saba","Netherlands","1612"
"Curacao","Netherlands","12271"
"Sint Maarten","Netherlands","2411"
"","Netherlands","1644699"
"","New Zealand","2672"
"","Nicaragua","7324"
"","Niger","5410"
"","Nigeria","166285"
"","North Macedonia","155246"
"","Norway","124655"
"","Oman","213784"
"","Pakistan","918936"
"","Panama","377428"
"","Papua New Guinea","15772"
"","Paraguay","350613"
"","Peru","1947555"
"","Philippines","1216582"
"","Poland","2871371"
"","Portugal","848213"
"","Qatar","217041"
"","Romania","1077426"
"","Russia","4995613"
"","Rwanda","26892"
"","Saint Kitts and Nevis","68"
"","Saint Lucia","5035"
"","Saint Vincent and the Grenadines","2027"
"","Samoa","3"
"","San Marino","5089"
"","Sao Tome and Principe","2345"
"","Saudi Arabia","448284"
"","Senegal","41331"
"","Serbia","712046"
"","Seychelles","11145"
"","Sierra Leone","4141"
"","Singapore","62003"
"","Slovakia","389440"
"","Slovenia","253493"
"","Solomon Islands","20"
"","Somalia","14653"
"","South Africa","1659070"
"","South Sudan","10688"
"","Spain","3668658"
"","Sri Lanka","180593"
"","Sudan","35289"
"","Suriname","14515"
"","Sweden","1068473"
"","Switzerland","693023"
"","Syria","24440"
"","Taiwan*","7806"
"","Tajikistan","13308"
"","Tanzania","509"
"","Thailand","151842"
"","Timor-Leste","6752"
"","Togo","13432"
"","Trinidad and Tobago","23001"
"","Tunisia","343374"
"","Turkey","5235978"
"","US","33251939"
"","Uganda","45931"
"","Ukraine","2257904"
"","United Arab Emirates","567263"
"Anguilla","United Kingdom","109"
"Bermuda","United Kingdom","2491"
"British Virgin Islands","United Kingdom","248"
"Cayman Islands","United Kingdom","581"
"Channel Islands","United Kingdom","4111"
"Falkland Islands (Malvinas)","United Kingdom","63"
"Gibraltar","United Kingdom","4293"
"Isle of Man","United Kingdom","1592"
"Montserrat","United Kingdom","20"
"Saint Helena, Ascension and Tristan da Cunha","United Kingdom","4"
"Turks and Caicos Islands","United Kingdom","2412"
"","United Kingdom","4480945"
"","Uruguay","288172"
"","Uzbekistan","99844"
"","Vanuatu","4"
"","Venezuela","231443"
"","Vietnam","6908"
"","West Bank and Gaza","307838"
"","Yemen","6731"
"","Zambia","94751"
"","Zimbabwe","38933"
